iter	RMSE
0	1672.360209
1	1628.167069
2	1588.371972
3	1550.076265
4	1515.958927
5	1481.660918
6	1451.230748
7	1422.124104
8	1394.826974
9	1369.688718
10	1346.493977
11	1326.090965
12	1307.193191
13	1288.911158
14	1271.899681
15	1258.565373
16	1244.086506
17	1230.087652
18	1218.253854
19	1207.580918
20	1197.076149
21	1188.279942
22	1179.269586
23	1171.367402
24	1164.173713
25	1157.317552
26	1151.139819
27	1145.87181
28	1141.140167
29	1136.287739
30	1132.013041
31	1127.992916
32	1124.64542
33	1121.367677
34	1117.989274
35	1115.359169
36	1112.874492
37	1110.945687
38	1108.483606
39	1105.970799
40	1104.259682
41	1102.538633
42	1100.727348
43	1099.502034
44	1098.075216
45	1096.976497
46	1095.700608
47	1094.452944
48	1093.237762
49	1092.232252
50	1091.692292
51	1090.978941
52	1090.097608
53	1089.472069
54	1088.555071
55	1087.78336
56	1087.132779
57	1086.450103
58	1085.554596
59	1085.070276
60	1084.48762
61	1083.994565
62	1083.536617
63	1083.011379
64	1082.492295
65	1081.822832
66	1081.098993
67	1080.716228
68	1080.258701
69	1079.847874
70	1079.36753
71	1079.062803
72	1078.69257
73	1078.41094
74	1078.042472
75	1077.680481
76	1077.36807
77	1076.931312
78	1076.491314
79	1076.102758
80	1075.764154
81	1075.181946
82	1074.66665
83	1074.375736
84	1074.09048
85	1073.741093
86	1073.42996
87	1073.148421
88	1072.89994
89	1072.500517
90	1072.090417
91	1071.741092
92	1071.277463
93	1070.749517
94	1070.414653
95	1070.101416
96	1069.832989
97	1069.459356
98	1069.124156
99	1068.7914
