iter	Passed	Remaining
0	2	262
1	4	235
2	6	221
3	8	214
4	11	209
5	13	215
6	15	209
7	17	204
8	19	198
9	21	193
10	23	189
11	25	185
12	27	181
13	29	178
14	30	174
15	32	171
16	34	168
17	36	164
18	37	160
19	39	158
20	41	155
21	43	152
22	45	151
23	46	148
24	48	146
25	50	143
26	52	140
27	53	138
28	55	135
29	57	133
30	59	131
31	60	129
32	63	128
33	65	126
34	66	124
35	68	121
36	70	119
37	72	117
38	73	115
39	75	112
40	77	111
41	79	109
42	80	107
43	82	105
44	84	102
45	85	100
46	87	98
47	89	96
48	91	94
49	93	93
50	94	90
51	95	88
52	97	86
53	99	84
54	101	82
55	102	80
56	104	78
57	106	76
58	107	74
59	109	73
60	111	71
61	113	69
62	114	67
63	116	65
64	118	63
65	119	61
66	121	59
67	123	58
68	125	56
69	127	54
70	129	52
71	130	50
72	132	49
73	134	47
74	136	45
75	137	43
76	139	41
77	141	39
78	143	38
79	145	36
80	146	34
81	148	32
82	150	30
83	151	28
84	153	27
85	155	25
86	157	23
87	159	21
88	160	19
89	162	18
90	164	16
91	165	14
92	167	12
93	169	10
94	171	9
95	173	7
96	174	5
97	176	3
98	178	1
99	180	0
