iter	RMSE
0	0.9668368948
1	0.9370054885
2	0.9099077209
3	0.8834426723
4	0.8570198349
5	0.8327459372
6	0.8095358557
7	0.7898487382
8	0.7704526795
9	0.753478533
10	0.7370110963
11	0.7214123452
12	0.708028055
13	0.6957506285
14	0.6845828771
15	0.6739602808
16	0.6645144513
17	0.6556088189
18	0.6467781049
19	0.6387917891
20	0.630839646
21	0.6247690288
22	0.6190627836
23	0.6134827556
24	0.6085596479
25	0.6044638995
26	0.6003322205
27	0.5959887926
28	0.5920441577
29	0.5889605207
30	0.5857063141
31	0.5825648514
32	0.5799197647
33	0.5777143552
34	0.5757837076
35	0.5736518217
36	0.5714404619
37	0.5697567386
38	0.5682304051
39	0.5670636215
40	0.5659741715
41	0.5645936149
42	0.5634365382
43	0.5623862208
44	0.561465623
45	0.5604856153
46	0.5597809632
47	0.5589153408
48	0.5582516348
49	0.5576769939
50	0.5571075459
51	0.5564329695
52	0.5558889988
53	0.5552107297
54	0.5547615445
55	0.5543103159
56	0.5538519401
57	0.553454683
58	0.5531299906
59	0.5527972336
60	0.5523865945
61	0.5520954015
62	0.551736956
63	0.5514700352
64	0.5511012859
65	0.5507617067
66	0.5504990573
67	0.5503124015
68	0.5501358807
69	0.5498916796
70	0.549739973
71	0.5495493713
72	0.5493349121
73	0.5491748239
74	0.549027968
75	0.548845825
76	0.5486737048
77	0.548562124
78	0.5484064666
79	0.5482526737
80	0.5481098472
81	0.5479580108
82	0.5477824402
83	0.5476962575
84	0.5475415049
85	0.5473105128
86	0.5472514947
87	0.5470458816
88	0.5469811291
89	0.5468372528
90	0.546735313
91	0.5466032858
92	0.5465344007
93	0.5464189196
94	0.5463372819
95	0.5462004011
96	0.5461162389
97	0.5459862154
98	0.5458591002
99	0.5457299536
100	0.5456238992
101	0.545478043
102	0.5453921773
103	0.5452853021
104	0.5451040864
105	0.5449998994
106	0.5449562483
107	0.5448782061
108	0.544797059
109	0.5447322475
110	0.5446935605
111	0.5446057386
112	0.5444847824
113	0.5443539714
114	0.5442496684
115	0.5441575615
116	0.5440750174
117	0.5439965146
118	0.5439160828
119	0.5438503017
120	0.5437655539
121	0.5436571281
122	0.5435792497
123	0.543495003
124	0.5434061751
125	0.5433220728
126	0.543218583
127	0.5431141857
128	0.5430552414
129	0.5429674453
130	0.5429147118
131	0.5428508077
132	0.5427734993
133	0.5426522153
134	0.5425452119
135	0.5424615478
136	0.5423719775
137	0.542303013
138	0.5422455127
139	0.5420790525
140	0.5420050212
141	0.5419110829
142	0.5418013011
143	0.5417406729
144	0.5416102779
145	0.5415116964
146	0.5414243672
147	0.5412584913
148	0.5411446401
149	0.5411010165
150	0.540972151
151	0.5408503679
152	0.5407756163
153	0.5406077123
154	0.5404982282
155	0.5404323115
156	0.5403120057
157	0.5402341113
158	0.5401546427
159	0.5400938627
160	0.5400149179
161	0.5398903879
162	0.5397696431
163	0.5396758113
164	0.5396053059
165	0.5395074397
166	0.5393817902
167	0.5392315302
168	0.539152584
