iter	Passed	Remaining
0	145	144996
1	148	74150
2	151	50449
3	155	38606
4	158	31449
5	160	26653
6	164	23348
7	167	20770
8	170	18768
9	173	17189
10	176	15878
11	179	14815
12	182	13883
13	186	13118
14	189	12450
15	192	11869
16	195	11321
17	198	10840
18	202	10435
19	204	10044
20	208	9710
21	211	9397
22	214	9100
23	217	8839
24	220	8588
25	223	8373
26	226	8165
27	229	7970
28	232	7798
29	235	7622
30	239	7474
31	242	7324
32	245	7183
33	248	7057
34	251	6933
35	254	6822
36	257	6713
37	261	6611
38	264	6505
39	267	6418
40	270	6328
41	273	6240
42	276	6158
43	279	6077
44	282	6001
45	285	5925
46	288	5853
47	291	5781
48	294	5714
49	297	5652
50	300	5589
51	303	5529
52	306	5471
53	309	5415
54	312	5372
55	315	5323
56	318	5272
57	321	5224
58	325	5183
59	331	5199
60	335	5159
61	338	5114
62	341	5071
63	344	5044
64	348	5007
65	350	4965
66	353	4924
67	357	4893
68	360	4865
69	363	4831
70	366	4797
71	369	4764
72	372	4731
73	376	4705
74	379	4676
75	382	4646
76	385	4616
77	388	4588
78	391	4564
79	394	4539
80	397	4511
81	400	4483
82	403	4457
83	406	4429
84	409	4406
85	412	4380
86	414	4354
87	418	4334
88	421	4310
89	424	4292
90	427	4270
91	430	4248
92	433	4225
93	435	4202
94	438	4180
95	441	4156
96	443	4131
97	446	4111
98	449	4089
99	451	4067
100	454	4046
101	457	4026
102	459	4004
103	462	3988
104	465	3969
105	468	3949
106	471	3933
107	474	3917
108	477	3901
109	480	3884
110	482	3865
111	485	3848
112	488	3832
113	490	3813
114	493	3794
115	495	3776
116	497	3758
117	500	3740
118	502	3723
119	506	3711
120	508	3695
121	511	3677
122	513	3662
123	516	3646
124	518	3630
125	521	3615
126	523	3599
127	526	3584
128	528	3569
129	531	3555
130	533	3541
131	537	3531
132	539	3517
133	542	3503
134	544	3488
135	547	3475
136	549	3461
137	552	3452
138	555	3440
139	557	3427
140	560	3414
141	562	3401
142	565	3391
143	569	3383
144	572	3373
145	574	3360
146	577	3348
147	579	3336
148	582	3326
149	585	3318
150	588	3306
151	590	3295
152	593	3284
153	596	3275
154	598	3264
155	601	3252
156	603	3241
157	606	3229
158	608	3218
159	611	3210
160	614	3200
161	616	3191
162	619	3181
163	622	3171
164	624	3160
165	627	3150
166	629	3140
